HVH_107_11_000001_000001	皇越律例卷十一日錄
HVH_107_11_000004_000001	發遣克单律迎回照倒責同家口
HVH_107_11_000004_000002	父毋兄弟子握一伏迁徙安排其不行
HVH_107_11_000004_000003	管束之該管官及失於查報之外鎮地
HVH_107_11_000004_000004	方官均交部議處
HVH_107_11_000004_000005	一緑這關口有識路徑存徒引領进民
HVH_107_11_000004_000006	私自偷越或受贿引送夹带違禁货物
HVH_107_11_000004_000007	之人出口者除將偷越及夾带本各
HVH_107_11_000004_000008	照律分别治罪外其引送之人知
HVH_107_11_000004_000009	僮圖微利並無別情者照違
HVH_107_11_000004_000010	制律杖一百加加號一個月交該管官嚴行管
HVH_107_11_000004_000011	東如偷越之人出口别有謀該犯明
HVH_107_11_000004_000012	皇越律侧一卷十一兵都開
HVH_107_11_000004_000013	藏度调洋
HVH_107_11_000004_000014	知选多賊照守把之人知情故
HVH_107_11_000004_000015	税律治罪兵弁失於查拿照例参
HVH_107_11_000004_000016	一指引逃匪逾越出口之犯知實不知
HVH_107_11_000004_000017	逃匪情由懂止私行送者仍照違
HVH_107_11_000004_000018	制律問换外若明知逃匪故行引送者照故
HVH_107_11_000004_000019	律典犯人同罪至再犯三犯者各按本
HVH_107_11_000004_000020	罪以火遍加得财故縱者计從重論
HVH_107_11_000004_000021	儿在京及諸镇管所買奴辉不照例立
HVH_107_11_000004_000022	戴合票私带出境該守周兵弁即時拿
HVH_107_11_000004_000023	送地方官如訊像拐賣即照拐賣侧分
HVH_107_11_000004_000024	别治罪如無拐賣情事將不行立藏
HVH_107_11_000005_000001	八口票之人照胃度网津律治罪
HVH_107_11_000005_000002	越律例
HVH_107_11_000005_000003	卷十一共律朋
HVH_107_11_000005_000004	四
HVH_107_11_000005_000005	单月度開峰
HVH_107_11_000006_000001	詐月给路引
HVH_107_11_000006_000002	九不應給路引之人
HVH_107_11_000006_000003	置家口之额
HVH_107_11_000006_000004	謂配危四徒光
HVH_107_11_000006_000005	而給
HVH_107_11_000006_000006	引及軍詐為尺民詐為軍若各告
HVH_107_11_000006_000007	引及以所給引轉與他人者並杖八十
HVH_107_11_000006_000008	及官豪勢要之人属託軍民衙擅給
HVH_107_11_000006_000009	北帖影射出八者各杖一百使
HVH_107_11_000006_000010	人医供
HVH_107_11_000006_000011	新引题身逐回者不在此限
HVH_107_11_000006_000012	官吏聽從及知情給與者
HVH_107_11_000006_000013	三件
HVH_107_11_000006_000014	並同罪
HVH_107_11_000006_000015	若不從及不知者不坐若檢司
HVH_107_11_000006_000016	分给引者罪亦如之
HVH_107_11_000006_000017	依聽促
HVH_107_11_000006_000018	越律侧卷十周声
HVH_107_11_000006_000019	五
HVH_107_11_000006_000020	推吹角纳丽
HVH_107_11_000006_000021	不立交案空押路引私填典人者杖
HVH_107_11_000006_000022	百徒三年0受财者
HVH_107_11_000006_000023	無解
HVH_107_11_000006_000024	法及有所规避者
HVH_107_11_000006_000025	或莲罪犯出境
HVH_107_11_000006_000026	或禁货通备
HVH_107_11_000006_000027	各
HVH_107_11_000006_000028	重論
HVH_107_11_000006_000029	军民肖境者必放所司单民街門告
HVH_107_11_000006_000030	路引定歸期程津监
HVH_107_11_000006_000031	面给從短倒给梦豪
HVH_107_11_000006_000032	托及知单民訴月等情百给與者
HVH_107_11_000007_000001	同林人十林一百之罪其不得及不
HVH_107_11_000007_000002	知而誤给者不坐。延检即今之分
HVH_107_11_000007_000003	守克隘官職在普查干例不得给所
HVH_107_11_000007_000004	若越分给引者亦如當該官吏聽從
HVH_107_11_000007_000005	所常人口貨物当官填立案面空
HVH_107_11_000007_000006	論及粘引批等人于事有所规有
HVH_107_11_000007_000007	本罪枉祛规避三罪洛從其重者
HVH_107_11_000007_000008	皇越律倒
HVH_107_11_000007_000009	卷十一兵律问岸
HVH_107_11_000007_000010	六
HVH_107_11_000007_000011	高
HVH_107_11_000007_000012	'
HVH_107_11_000008_000001	闊津留難
HVH_107_11_000008_000002	元閑津徃來船守把之人不即盤
HVH_107_11_000008_000003	引交
HVH_107_11_000008_000004	放行無故阻當者一日答二十每一
HVH_107_11_000008_000005	日加一等罪止答五十
HVH_107_11_000008_000006	坐日若取财
HVH_107_11_000008_000007	者照在官人役
HVH_107_11_000008_000008	若官豪要之人
HVH_107_11_000008_000009	取受有事人财倒
HVH_107_11_000008_000010	乘船經過闊律不服盤驗者杖一百
HVH_107_11_000008_000011	若撑駕渡船梢水如遇风浪險悪不許
HVH_107_11_000008_000012	擺渡違者答四十若不顧風浪故行開
HVH_107_11_000008_000013	船至中流停船勒要船钱者杖八十因
HVH_107_11_000008_000014	而傷人者以故殺傷論或不
HVH_107_11_000008_000015	潮暖
HVH_107_11_000008_000016	船钱止是不倾风浪因而坑
HVH_107_11_000008_000017	爵接商人者以通失科断
HVH_107_11_000008_000018	丽部
HVH_107_11_000008_000019	市章校之废有往來船皆
HVH_107_11_000008_000020	监其来歷辨验其文引所以祭
HVH_107_11_000008_000021	究守之人借端留難必致
HVH_107_11_000008_000022	普誤行旅故不即驗放行無教阻
HVH_107_11_000008_000023	以上罪五十罪坐直日者
HVH_107_11_000008_000024	若撑疫船之精工水手如遇
HVH_107_11_000008_000025	輕也若不風浓故行開船停于中
HVH_107_11_000008_000026	傷過之人者以故教聞傷律論罪
HVH_107_11_000008_000027	中流要錢面争角磋珠落水或中
HVH_107_11_000008_000028	流停船脚被屋浪街擊等背教
HVH_107_11_000008_000029	之事也依故律
HVH_107_11_000008_000030	傷依聞殿律照傷生罪
HVH_107_11_000009_000001	盤詰嘉细
HVH_107_11_000009_000002	允绿邊關塞及腹里地面但有境内姦細
HVH_107_11_000009_000003	走透消息外人尺境外细入境内
HVH_107_11_000009_000004	聽事情者盤獲到官須要鞫問接引
HVH_107_11_000009_000005	起謀州之人得實
HVH_107_11_000009_000006	首餐
HVH_107_11_000009_000007	不分
HVH_107_11_000009_000008	皆斬經過
HVH_107_11_000009_000009	去處守把之人知而故縱及隱匿不首
HVH_107_11_000009_000010	者並與犯人同罪
HVH_107_11_000009_000011	至死
HVH_107_11_000009_000012	杖一百軍兵杖九十坐宜
HVH_107_11_000009_000013	日者
HVH_107_11_000009_000014	体图境内之有细能走透消息于外
HVH_107_11_000009_000015	有接入两起謀出外之人故
HVH_107_11_000009_000016	其說秘必得乃坐也其
HVH_107_11_000009_000017	皇越律例
HVH_107_11_000009_000018	卷十一律行
HVH_107_11_000009_000019	细经去處守把之人知奸和之情
HVH_107_11_000009_000020	八
HVH_107_11_000009_000021	整的细
HVH_107_11_000009_000022	面故稷之去及隐不行舉首者
HVH_107_11_000009_000023	典把人同罪依名侧减流若非故
HVH_107_11_000009_000024	失然者官杖
HVH_107_11_000009_000025	一百年人苏九十
HVH_107_11_000009_000026	條例
HVH_107_11_000009_000027	一交結外國及私通土蠻山蠻互相買賣
HVH_107_11_000009_000028	借代骗财物引惹或潜住蜜寨
HVH_107_11_000009_000029	教誘鼠
HVH_107_11_000009_000030	如打都共财
HVH_107_11_000009_000031	實犯死罪
HVH_107_11_000009_000032	如感透内处人
HVH_107_11_000009_000033	俱問餐遠克軍
HVH_107_11_000009_000034	几盤獲形跡可疑之船貨物人数不符
HVH_107_11_000009_000035	税單牌票者限三日丙查明果商
HVH_107_11_000009_000036	即速放行如贼船交與地方官
HVH_107_11_000010_000001	有無行协按律例分别治罪如延辑官
HVH_107_11_000010_000002	兵以賊船作為商船释放者照諱益例
HVH_107_11_000010_000003	治罪以商船作為賊船擾害者照良
HVH_107_11_000010_000004	爲盗例治罪索取财物者拿问該管上
HVH_107_11_000010_000005	司失察照创
HVH_107_11_000010_000006	皇越律
HVH_107_11_000010_000007	卷十一
HVH_107_11_000010_000008	九
HVH_107_11_000010_000009	金前舒酒
HVH_107_11_000011_000001	私出外境及连禁下海
HVH_107_11_000011_000002	几將馬牛軍需鐵貨
HVH_107_11_000011_000003	未成
HVH_107_11_000011_000004	軍器
HVH_107_11_000011_000005	铜錢缎足轴網
HVH_107_11_000011_000006	私外境貨賣及下海者杖一百
HVH_107_11_000011_000007	爱
HVH_107_11_000011_000008	崔
HVH_107_11_000011_000009	挑擔默载之人一等物貨船車並
HVH_107_11_000011_000010	入官内以十分為率三分付告人克
HVH_107_11_000011_000011	赏若將人口軍器出境及下海者校
HVH_107_11_000011_000012	保监
HVH_107_11_000011_000013	因而走泄事情者斬
HVH_107_11_000011_000014	盛
HVH_107_11_000011_000015	娱
HVH_107_11_000011_000016	其該拘束官司
HVH_107_11_000011_000017	及守把之人通同灭带或知而故縱者
HVH_107_11_000011_000018	典犯人同罪
HVH_107_11_000011_000019	至死
HVH_107_11_000011_000020	减等
HVH_107_11_000011_000021	失覺察者官减三等
HVH_107_11_000011_000022	罪止杖一百軍兵叉减一等
HVH_107_11_000011_000023	者若守把
HVH_107_11_000011_000024	坐日
HVH_107_11_000011_000025	文人受财
HVH_107_11_000011_000026	以桩法
HVH_107_11_000011_000027	皇律侧
HVH_107_11_000011_000028	卷丘
HVH_107_11_000011_000029	彩出处境反示下
HVH_107_11_000011_000030	马牛軍之鐵肯钢轴
HVH_107_11_000011_000031	锦皆中國利用之物不可以资外
HVH_107_11_000011_000032	将前物私出外肯賣及私
HVH_107_11_000011_000033	精下海者杖一百受雇批卷载之
HVH_107_11_000011_000034	人诚一等其肯物車船並递入官有
HVH_107_11_000011_000035	告人者以十分之三悦育若油官同
HVH_107_11_000011_000036	人觉我者不在賞限此等此
HVH_107_11_000011_000037	下海销不過無知贪利之所若行
HVH_107_11_000011_000038	中国人口境及下者是必
HVH_107_11_000011_000039	有资兵面助贼黨文心非止利
HVH_107_11_000011_000040	陕教面走世中國事情者则興
HVH_107_11_000011_000041	奸细無具故渐其尚境下海人該管
HVH_107_11_000011_000042	司及门网口處寺把之人通局
HVH_107_11_000011_000043	灰带前项物及人軍器或知其
HVH_107_11_000011_000044	出境下海面故艇不周者與人同
HVH_107_11_000011_000045	罪至死减流若不知而失干骨察者
HVH_107_11_000011_000046	教管官司守把官员就犯人罪三等
HVH_107_11_000011_000047	罪止杖一百軍矣叉一等通减图
HVH_107_11_000011_000048	等罪止
HVH_107_11_000011_000049	條例
HVH_107_11_000012_000001	一九外国貢船到岸未曾報官验先行
HVH_107_11_000012_000002	接買番貨及為外图收買道禁貨物者
HVH_107_11_000012_000003	俱近遷克軍
HVH_107_11_000012_000004	皇越律例一卷十
HVH_107_11_000012_000005	注
HVH_107_11_000012_000006	阴外及浇禁下海
HVH_107_11_000013_000001	脱收
HVH_107_11_000013_000002	官馬不調
HVH_107_11_000013_000003	几牧馬之官聽乘官馬而不調者匹
HVH_107_11_000013_000004	答二十每五匹加一等罪至止杖八一
HVH_107_11_000013_000005	蒙亦
HVH_107_11_000013_000006	如之
HVH_107_11_000013_000007	牧导官聽来官写者责其以利
HVH_107_11_000013_000008	用也若不齊者一匹节二十五四
HVH_107_11_000013_000009	加一等至三十一四
HVH_107_11_000013_000010	以上罪止术八十
HVH_107_11_000013_000011	皇律例
HVH_107_11_000013_000012	卷十一律
HVH_107_11_000013_000013	官国不
HVH_107_11_000014_000001	辛殺馬牛
HVH_107_11_000014_000002	九私宰自已馬牛者杖一百勉角皮張入
HVH_107_11_000014_000003	官误殺及病死者不坐。若故殺他人
HVH_107_11_000014_000004	馬牛者杖七十徒一年牛
HVH_107_11_000014_000005	産同
HVH_107_11_000014_000006	官
HVH_107_11_000014_000007	若計贼
HVH_107_11_000014_000008	重於本罪者准益論
HVH_107_11_000014_000009	舞道
HVH_107_11_000014_000010	免料
HVH_107_11_000014_000011	若傷而不死不堪乘用及猪年
HVH_107_11_000014_000012	等畜者計
HVH_107_11_000014_000013	伤
HVH_107_11_000014_000014	所
HVH_107_11_000014_000015	诚之價亦准盗論各追
HVH_107_11_000014_000016	賠所减價钱
HVH_107_11_000014_000017	官
HVH_107_11_000014_000018	检主
HVH_107_11_000014_000019	價不減者笞三十其
HVH_107_11_000014_000020	誤傷者不坐罪但追赔減價。為從
HVH_107_11_000014_000021	官物不
HVH_107_11_000014_000022	分首楼
HVH_107_11_000014_000023	若故殺腮麻
HVH_107_11_000014_000024	皇越律侧
HVH_107_11_000014_000025	卷十一共律
HVH_107_11_000014_000026	十三
HVH_107_11_000014_000027	华马牛
HVH_107_11_000014_000028	者年等畜者計減價坐贼論罪止杖
HVH_107_11_000014_000029	八十其誤救及故傷者俱不坐但各追
HVH_107_11_000014_000030	赔城價。若官司畜産毁食官司之物
HVH_107_11_000014_000031	因而移傷者各减故後傷三等追赔所
HVH_107_11_000014_000032	减價畜主赔信所毁食之物
HVH_107_11_000014_000033	若放官私畜産损食官私物者三
HVH_107_11_000014_000034	十折
HVH_107_11_000014_000035	賊重本者坐贼論
HVH_107_11_000014_000036	罪止杖一
HVH_107_11_000014_000037	百徒三年
HVH_107_11_000014_000038	失者减二等各赔所損物官若
HVH_107_11_000014_000039	官畜産毁食官物者止坐其罪不在
HVH_107_11_000014_000040	賠償之限若畜產欲觸觚踢咬人登
HVH_107_11_000014_000041	時傷者不坐罪亦不賠償
HVH_107_11_000014_000042	兼官
HVH_107_11_000014_000043	拉
HVH_107_11_000015_000001	马以代步牛以代耕皆效用于人者
HVH_107_11_000015_000002	既畫其力又其身非仁也辨自己
HVH_107_11_000015_000003	新省亦不拼红宰故杖一百角度
HVH_107_11_000015_000004	服八官誤後肯於無心病死非人
HVH_107_11_000015_000005	事自不坐罪入官包。他二字
HVH_107_11_000015_000006	人馬期杖七十一年件
HVH_107_11_000015_000007	一百流
HVH_107_11_000015_000008	按也各計役傷所减之價爲验像元
HVH_107_11_000015_000009	者亦在汤盗論官者亦在常人
HVH_107_11_000015_000010	盗输如馬牛等原值银三十两令爱
HVH_107_11_000015_000011	死止值五两则計所之五两論
HVH_107_11_000015_000012	罪止杖一百流三千里免刺所诚
HVH_107_11_000015_000013	錢照追的官抬主若馬牛等单受
HVH_107_11_000015_000014	望律例
HVH_107_11_000015_000015	卷十一兵华
HVH_107_11_000015_000016	十四
HVH_107_11_000015_000017	华铁马牛
HVH_107_11_000015_000018	有可乘用借年等雄已得可爱賣
HVH_107_11_000015_000019	干現在之價無所者既無
HVH_107_11_000015_000020	價即無可之聽故不分官
HVH_107_11_000015_000021	止咨三十以上皆自故接傷者言
HVH_107_11_000015_000022	其誤傷者雖無心而他人之畜
HVH_107_11_000015_000023	座则已诚價故不分官司蓄
HVH_107_11_000015_000024	一
HVH_107_11_000015_000025	猪年等商
HVH_107_11_000015_000026	者各商
HVH_107_11_000015_000027	有者罪一等官物不分首
HVH_107_11_000015_000028	。麻以上几本宗外烟事長
HVH_107_11_000015_000029	座典壮宰自巴畜座罪阿馬牛杖
HVH_107_11_000015_000030	猪羊争畜俱不坐罪但各對所藏
HVH_107_11_000015_000031	價赔。效食是两项数字所指者
HVH_107_11_000015_000032	一
HVH_107_11_000015_000033	廣歸殘随到有损者皆是高
HVH_107_11_000015_000034	産典物並言官社者诚官物主数伤
HVH_107_11_000015_000035	畜座或和物主锻官畜或馆
HVH_107_11_000015_000036	官科有所按像者因畜有
HVH_107_11_000015_000037	食之事而後傷之辨與誤者不同
HVH_107_11_000015_000038	。
HVH_107_11_000015_000039	,
HVH_107_11_000016_000001	亦典的者有同各故教傷罪三等
HVH_107_11_000016_000002	不分官一體科断照第二節丙或
HVH_107_11_000016_000003	徒或杖或准盗論等罪上科像靓
HVH_107_11_000016_000004	属者黑第四節内或與宰罪同或
HVH_107_11_000016_000005	是尊指田野中物言畜産食必有
HVH_107_11_000016_000006	践踏损伤者故日食畜產实物皆
HVH_107_11_000016_000007	不分官同龄若有意故放
HVH_107_11_000016_000008	使护食者答三十仍計所食之物
HVH_107_11_000016_000009	生罪重于答三十则餐坐
HVH_107_11_000016_000010	料之其無放之情止是失干防制
HVH_107_11_000016_000011	藏坐罪二等敬者失者各追赔
HVH_107_11_000016_000012	所食之物。若妆餐官高産之人
HVH_107_11_000016_000013	失于防制或或食官物者止生诚
HVH_107_11_000016_000014	失防出故特原之也律重故
HVH_107_11_000016_000015	犯若有意故觉容不赔放註失防
HVH_107_11_000016_000016	二字以别之。畜堂欲傷人面人
HVH_107_11_000016_000017	望越律例二人卷十一六年
HVH_107_11_000016_000018	十五
HVH_107_11_000016_000019	阜马中
HVH_107_11_000016_000020	胖我伤老不坐罪不赔價重看
HVH_107_11_000016_000021	时二字其急通情非得已欲所
HVH_107_11_000016_000022	以禦害耳若倒能赐吹之经
HVH_107_11_000016_000023	避過面选长数傷则即故傷矣
HVH_107_11_000016_000024	條例
HVH_107_11_000016_000025	几屠6将堪用馬牛買去者仍照
HVH_107_11_000016_000026	私宰自己馬牛律杖一百若将窃盗所
HVH_107_11_000016_000027	偷堪用馬牛買去宰者典窃盗一體
HVH_107_11_000016_000028	論罪
HVH_107_11_000017_000001	畜産咬踢人
HVH_107_11_000017_000002	九馬牛及犬有觸触踢咬人而記號栓
HVH_107_11_000017_000003	繁不如法若有狂大不者笞四十因
HVH_107_11_000017_000004	而傷人者以過失論
HVH_107_11_000017_000005	各准開做役
HVH_107_11_000017_000006	熊制
HVH_107_11_000017_000007	相殿傷律
HVH_107_11_000017_000008	控之
HVH_107_11_000017_000009	及無故觸之而被殺傷者不坐罪
HVH_107_11_000017_000010	若故放大合傷他人畜產者各笞
HVH_107_11_000017_000011	四十追賠所减價錢
HVH_107_11_000017_000012	检
HVH_107_11_000017_000013	呈
HVH_107_11_000017_000014	几畜餐马牛與大有性不别良者
HVH_107_11_000017_000015	须防制有风在之大者必须数除
HVH_107_11_000017_000016	其僑人也若將觸咬人之
HVH_107_11_000017_000017	皇越律侧一卷十一兵律
HVH_107_11_000017_000018	十六
HVH_107_11_000017_000019	龙交竭人
HVH_107_11_000017_000020	犬而不者未人亦笞四十
HVH_107_11_000017_000021	加用記拾繁不如法及不疑之
HVH_107_11_000017_000022	而至转人傷人者以通失論各依
HVH_107_11_000017_000023	院役律付其若故
HVH_107_11_000017_000024	一等若惊属亦依属相木律
HVH_107_11_000017_000025	產而不能反畜素不
HVH_107_11_000017_000026	减等科断其献受雇為人
HVH_107_11_000017_000027	咬人而人無故之致被終
HVH_107_11_000017_000028	教成伤各答四十计其所成價
HVH_107_11_000017_000029	数追
HVH_107_11_000017_000030	赔
HVH_107_11_000018_000001	隐匿孳生官畜産
HVH_107_11_000018_000002	几牧餐官馬牛年等畜所得享生限十
HVH_107_11_000018_000003	日内報官若限外隐匿不報計
HVH_107_11_000018_000004	之价码
HVH_107_11_000018_000005	所隐庭
HVH_107_11_000018_000006	賊窃盗論
HVH_107_11_000018_000007	流三千里因而盗或
HVH_107_11_000018_000008	止放一百
HVH_107_11_000018_000009	不
HVH_107_11_000018_000010	不分
HVH_107_11_000018_000011	生
HVH_107_11_000018_000012	两雅犯
HVH_107_11_000018_000013	人同罪不知者俱不坐
HVH_107_11_000018_000014	買益贼科医费
HVH_107_11_000018_000015	買主知情以故
HVH_107_11_000018_000016	抵换之
HVH_107_11_000018_000017	物质馆
HVH_107_11_000018_000018	牧餐官畜則华生之野皆官物也故
HVH_107_11_000018_000019	限十日内報官過此外不兼者
HVH_107_11_000018_000020	学生所為肿窃盗因隱医面
HVH_107_11_000018_000021	盗賣與人或不隐匿面抵换入七测
HVH_107_11_000018_000022	真盛驻以监守自益論罪其
HVH_107_11_000018_000023	典牧畜産各官知其隐益
HVH_107_11_000018_000024	王藏律例
HVH_107_11_000018_000025	卷广开常
HVH_107_11_000018_000026	十七
HVH_107_11_000018_000027	享生官畜産
HVH_107_11_000018_000028	之情而不舉問者與犯
HVH_107_11_000018_000029	人同罪不知者不坐
HVH_107_11_000019_000001	私借宫畜库
HVH_107_11_000019_000002	将借典人者于
HVH_107_11_000019_000003	九盘臨
HVH_107_11_000019_000004	主守將官畜马牛自借
HVH_107_11_000019_000005	我謂計货线数
HVH_107_11_000019_000006	坐胜涂和重干答五
HVH_107_11_000019_000007	之者各下追货
HVH_107_11_000019_000008	十者于坐本法上
HVH_107_11_000019_000009	用或轉借與人及借之者
HVH_107_11_000019_000010	五十验
HVH_107_11_000019_000011	借日期追雇钱入官若
HVH_107_11_000019_000012	福
HVH_107_11_000019_000013	近多各答
HVH_107_11_000019_000014	不渝久
HVH_107_11_000019_000015	再加一等科之坐胜
HVH_107_11_000019_000016	本海通算折牛科
HVH_107_11_000019_000017	至四十两杖六十方
HVH_107_11_000019_000018	不得過其本價官畜死伏
HVH_107_11_000019_000019	取干本军計之
HVH_107_11_000019_000020	秉官物在场事去依常人盗
HVH_107_11_000019_000021	錢如許周借多且
HVH_107_11_000019_000022	监主守将所管官备因已事而
HVH_107_11_000019_000023	灸故加一等
HVH_107_11_000019_000024	自信用或為情而轉借與人及借之
HVH_107_11_000019_000025	者各答五十验其所借頭数計日
HVH_107_11_000019_000026	追征钱入官若計雇錢各
HVH_107_11_000019_000027	坐脏論重干五
HVH_107_11_000019_000028	十者加一等科之
HVH_107_11_000019_000029	皇越律创
HVH_107_11_000019_000030	春十一共章
HVH_107_11_000019_000031	大<
HVH_107_11_000019_000032	和借官富库
HVH_107_11_000020_000001	郵翠
HVH_107_11_000020_000002	送公文
HVH_107_11_000020_000003	九铺兵遞送公文書夜须行三百里普留
HVH_107_11_000020_000004	三刻答二十每三刻加一等罪止答五
HVH_107_11_000020_000005	十其公文到不問角敷多少彌
HVH_107_11_000020_000006	须要
HVH_107_11_000020_000007	随即
HVH_107_11_000020_000008	遣兵
HVH_107_11_000020_000009	附籍
HVH_107_11_000020_000010	送不許等待後來文書道
HVH_107_11_000020_000011	者铺司管二十。其铺兵通送公文若
HVH_107_11_000020_000012	磨擦及破壊封皮不動原封者一角笞
HVH_107_11_000020_000013	二十每三角加一等罪止杖六十若损
HVH_107_11_000020_000014	壤公文
HVH_107_11_000020_000015	封者
HVH_107_11_000020_000016	不
HVH_107_11_000020_000017	原一角答四十每二角加
HVH_107_11_000020_000018	一等罪止杖八十若沉匿公文及拆動
HVH_107_11_000020_000019	越律例一十一律
HVH_107_11_000020_000020	十九
HVH_107_11_000020_000021	越公夫
