HVH_107_14_000001_000001	皇越律侧卷十四目録
HVH_107_14_000004_000014	以類
HVH_107_14_000004_000015	推
HVH_107_14_000004_000016	笺释叉云
HVH_107_14_000004_000017	得财之法
HVH_107_14_000004_000018	妒
HVH_107_14_000004_000019	本本人言不
HVH_107_14_000004_000020	見
HVH_107_14_000004_000021	律為圖語能人
HVH_107_14_000004_000022	舆財原言有
HVH_107_14_000004_000023	謀财者無因財
HVH_107_14_000004_000024	欲
HVH_107_14_000004_000025	取不便
HVH_107_14_000004_000026	麻藥典
HVH_107_14_000004_000027	得财际
HVH_107_14_000004_000028	不
HVH_107_14_000004_000029	人之心
HVH_107_14_000004_000030	徐例
HVH_107_14_000004_000031	几勘問謀殺人犯果有詭計陰謀者方
HVH_107_14_000004_000032	以造意論斬助傷重者方以加功論
HVH_107_14_000004_000033	綾謀而已行人戚見獲者方與强盗同
HVH_107_14_000004_000034	辟毋得據一言為造謀指助势為加功
HVH_107_14_000004_000035	坐虚贓爲得财一概擬死致傷多命
HVH_107_14_000005_000001	一几謀财害命照律擬断立决外其有因
HVH_107_14_000005_000002	他事殺人後偶見财物因而取去者必
HVH_107_14_000005_000003	審其行见换何隙有何证果初
HVH_107_14_000005_000004	無圖財之心殺人後見有隨身承物銀
HVH_107_14_000005_000005	钱乘便取去者将所得之财倍追給主
HVH_107_14_000005_000006	各依本律科断若殺人後掠取家财
HVH_107_14_000005_000007	鱼知有藏蓄而取去者得實情仍同
HVH_107_14_000005_000008	强盗論罪
HVH_107_14_000005_000009	一几图财害命應分别曾否得财定提其
HVH_107_14_000005_000010	得财而死人命者首犯舆從而加功
HVH_107_14_000005_000011	者俱摄断立决不加功者擬断益候不
HVH_107_14_000005_000012	皇律侧
HVH_107_14_000005_000013	卷十四刑律
HVH_107_14_000005_000014	四
HVH_107_14_000005_000015	粮人
HVH_107_14_000005_000016	行而分者照强盗免死减等例問
HVH_107_14_000005_000017	傷人未死而已得財者首犯提立
HVH_107_14_000005_000018	從而加功者擬断监保不加功者亦照
HVH_107_14_000005_000019	创發不行而分贼者杖一百流三千
HVH_107_14_000005_000020	里如未得财殺人為首者提保傷
HVH_107_14_000005_000021	人為首者擬殺监保其爲從加功不
HVH_107_14_000005_000022	功者俱分别遮
HVH_107_14_000005_000023	一凡謀
HVH_107_14_000005_000024	水等頂雖未受傷因謀税奔脱他
HVH_107_14_000005_000025	所者造意者流為從满杖若其人迫
HVH_107_14_000005_000026	兒悍當時失跌身死原謀候
HVH_107_14_000006_000001	爲從者杖一百流三千里
HVH_107_14_000006_000002	皇威律例
HVH_107_14_000006_000003	卷十四
HVH_107_14_000006_000004	刑
HVH_107_14_000006_000005	谋敬人
HVH_107_14_000007_000001	謀殺制使及本管長官
HVH_107_14_000007_000002	品极大小者所以尊
HVH_107_14_000007_000003	注基使之官不险
HVH_107_14_000007_000004	儿奉制命出使而官吏謀殺及部民
HVH_107_14_000007_000005	朝定重制命也
HVH_107_14_000007_000006	段本知府知州知縣軍士謀殺本
HVH_107_14_000007_000007	官若吏卒謀数本部五上長官巳
HVH_107_14_000007_000008	7
HVH_107_14_000007_000009	府州寨佐武首官其非本属
HVH_107_14_000007_000010	本管本即者各侯几人謀殺
HVH_107_14_000007_000011	此條无四項一大小馆奉制命出
HVH_107_14_000007_000012	使于外而所在馆使有講救之者一
HVH_107_14_000007_000013	卒謀数本部五以上長官者其人
HVH_107_14_000007_000014	雖殊其事則一以下謀止均满不
HVH_107_14_000007_000015	皇
HVH_107_14_000007_000016	越律例
HVH_107_14_000007_000017	卷十四律
HVH_107_14_000007_000018	六
HVH_107_14_000007_000019	开制及术骨长官
HVH_107_14_000007_000020	其謀已行尚未傷人者為首遣意杖
HVH_107_14_000007_000021	一百流二千里为縱月行藏一等杖
HVH_107_14_000007_000022	為首走意数為從加功减等
HVH_107_14_000007_000023	者立决已者不分首從造意加
HVH_107_14_000007_000024	谐其已傷有為而不即
HVH_107_14_000007_000025	役六以下長官部民謀数府州
HVH_107_14_000007_000026	佐藏首领官其非本属本华本
HVH_107_14_000007_000027	者亦以
HVH_107_14_000007_000028	几韵
HVH_107_14_000008_000001	謀殺祖父毋父
HVH_107_14_000008_000002	无殺祖父毋父毋及期親尊長外祖父
HVH_107_14_000008_000003	毋夫夫之祖父毋父毋已行
HVH_107_14_000008_000004	不同已
HVH_107_14_000008_000005	不分首徒
HVH_107_14_000008_000006	监故在者仍其它其為有服
HVH_107_14_000008_000007	不同自依稳麻以上律前有无人自
HVH_107_14_000008_000008	服属皆做此
HVH_107_14_000008_000009	者首杖一百流二千里
HVH_107_14_000008_000010	为從杖
HVH_107_14_000008_000011	者首较
HVH_107_14_000008_000012	功鱼同儿翰
HVH_107_14_000008_000013	。其尊長謀殺
HVH_107_14_000008_000014	首
HVH_107_14_000008_000015	外烟
HVH_107_14_000008_000016	本宗及
HVH_107_14_000008_000017	卑勿行者
HVH_107_14_000008_000018	各依故殺罪减二等已傷者减等已
HVH_107_14_000008_000019	殺者依故殺法
HVH_107_14_000008_000020	依故数法者捐各依问
HVH_107_14_000008_000021	内长校授单切
HVH_107_14_000008_000022	皇越律制卷十四律
HVH_107_14_000008_000023	七
HVH_107_14_000008_000024	谋发程父梦受号
HVH_107_14_000008_000025	律商罪爲從者
HVH_107_14_000008_000026	各依服屬科
HVH_107_14_000008_000027	。若奴婢及雇工人謀
HVH_107_14_000008_000028	家畏及家長之期親外祖父毋若
HVH_107_14_000008_000029	麻以上親者
HVH_107_14_000008_000030	兼尊单言主人罪與子
HVH_107_14_000008_000031	服属算卑之親
HVH_107_14_000008_000032	同若已轉賣依
HVH_107_14_000008_000033	辰贱相殿論
HVH_107_14_000008_000034	課教之罪无人已重若以于孙而
HVH_107_14_000008_000035	教祖父毋母及以单幼而謀投期
HVH_107_14_000008_000036	親尊责以外孫而謀校外祖父伊以
HVH_107_14_000008_000037	妻妾而谋本夫與夫之祖父毋父
HVH_107_14_000008_000038	无领请之于陈幻外妻接不
HVH_107_14_000008_000039	分首從音新已者背逆處死
HVH_107_14_000008_000040	行锡巴役各照本律科断不在谐
HVH_107_14_000008_000041	靳皆凌運之秘若早幼投本宗外
HVH_107_14_000008_000042	I
HVH_107_14_000009_000001	已姻
HVH_107_14_000009_000002	聚
HVH_107_14_000009_000003	行而未傷造意首者林
HVH_107_14_000009_000004	床
HVH_107_14_000009_000005	二
HVH_107_14_000009_000006	千里爲從减
HVH_107_14_000009_000007	等杖一百徒三年
HVH_107_14_000009_000008	未傷则無加功不加功之别惟同
HVH_107_14_000009_000009	如
HVH_107_14_000009_000010	里
HVH_107_14_000009_000011	也其同
HVH_107_14_000009_000012	单幼各依聞殿條内等长故救甲
HVH_107_14_000009_000013	各恢本律
HVH_107_14_000009_000014	件。其長本宗
HVH_107_14_000009_000015	幼姻
HVH_107_14_000009_000016	锻律科之謀而已救典故同止
HVH_107_14_000009_000017	则减
HVH_107_14_000009_000018	一等止行则减二等也如祖父
HVH_107_14_000009_000019	皇越律侧
HVH_107_14_000009_000020	卷十四神
HVH_107_14_000009_000021	八
HVH_107_14_000009_000022	萧霞祖父青父
HVH_107_14_000009_000023	毋父毋故殺子孫該杖六十徒一年
HVH_107_14_000009_000024	傷而未死城一等杖一百行面味
HVH_107_14_000009_000025	及几人诸各依本律若奴及
HVH_107_14_000009_000026	一百二千里已傷为首者教爲
HVH_107_14_000009_000027	從者各减一等教者皆朝死奥流
HVH_107_14_000009_000028	分置得以长甲幼而别前手
HVH_107_14_000009_000029	條例
HVH_107_14_000009_000030	一等長謀殺早幼除爲首之拿長仍依故
HVH_107_14_000010_000001	殺法分别巳行已傷已设定擬外其爲
HVH_107_14_000010_000002	從加功之尊長各按服制亦分别行
HVH_107_14_000010_000003	已傷已殺三項各依爲首之罪减一等
HVH_107_14_000010_000004	若同行不加功及同謀不同行交各
HVH_107_14_000010_000005	一等爲從係几人仍照儿人謀殺為從
HVH_107_14_000010_000006	科断
HVH_107_14_000010_000007	一凡姑謀殺子婦之案除伊媳實犯
HVH_107_14_000010_000008	等罪仍照本律定擬外如僅止出言顶
HVH_107_14_000010_000009	撞蓄意謀殺情節兒殘顯著者流
HVH_107_14_000010_000010	邀
HVH_107_14_000010_000011	皇越律例
HVH_107_14_000010_000012	卷四制
HVH_107_14_000010_000013	元
HVH_107_14_000010_000014	讲救祖父毋父母
HVH_107_14_000011_000001	死姦夫
HVH_107_14_000011_000002	姦婦登時殺死者勿論若止殺死姦夫
HVH_107_14_000011_000003	者姦婦依律罪当官嫁賣身價入
HVH_107_14_000011_000004	官
HVH_107_14_000011_000005	轨或非姦所捕獲皆不得构此律
HVH_107_14_000011_000006	其妻妾因姦同謀殺死親夫者凌運處
HVH_107_14_000011_000007	死姦夫處
HVH_107_14_000011_000008	联
HVH_107_14_000011_000009	器
HVH_107_14_000011_000010	若姦夫自教其夫者
HVH_107_14_000011_000011	婦雖不知情较
HVH_107_14_000011_000012	铁
HVH_107_14_000011_000013	盟
HVH_107_14_000011_000014	无妾與人通而本夫知覺耶于
HVH_107_14_000011_000015	行姦之所将婦親身捉登
HVH_107_14_000011_000016	时死者谕祝干姦所则表有
HVH_107_14_000011_000017	握救之罪者在姦所登时止殺无
HVH_107_14_000011_000018	夫者亦弗前其表婚妖和姦习本
HVH_107_14_000011_000019	皇越律侧
HVH_107_14_000011_000020	卷十四刑律
HVH_107_14_000011_000021	十
HVH_107_14_000011_000022	发死夫
HVH_107_14_000011_000023	律断罪次杖富官嫁身價入官此
HVH_107_14_000011_000024	條要看姦通所等字或止
HVH_107_14_000011_000025	藏而未成姦或難成姦而覆寺所
HVH_107_14_000011_000026	或已就拘轨而救非登时皆不在
HVH_107_14_000011_000027	婦通夫
HVH_107_14_000011_000028	傷已傷而未姿律
HVH_107_14_000011_000029	决之概實调姦而起故不得说于死
HVH_107_14_000011_000030	而止科以罪也夫與精之夫
HVH_107_14_000011_000031	无人电有得人本律妻妾群教夫
HVH_107_14_000011_000032	亦有前祭正律此役云妻接因同
HVH_107_14_000011_000033	謀殺死親大者以目奥因别事不
HVH_107_14_000011_000034	同也姦带本律原不分首從而姦夫
HVH_107_14_000011_000035	即爲從亦同造意處斬與下夫
HVH_107_14_000011_000036	自殺其夫带雖不知情亦校義同
HVH_107_14_000011_000037	谐而加不用謀般之也按
HVH_107_14_000011_000038	前條謀数父祖等註云其為從有服
HVH_107_14_000012_000001	親儿人云是妻别親人同
HVH_107_14_000012_000002	謀以要姿首院见本面因
HVH_107_14_000012_000003	同傷而不死條倒以將造意之
HVH_107_14_000012_000004	夫仍依首律教亦因轰而最之
HVH_107_14_000012_000005	电盖因别事必由子你等謀及他人
HVH_107_14_000012_000006	而因则男女如同心赢夫既其
HVH_107_14_000012_000007	同柴满從註创音深合律意
HVH_107_14_000012_000008	條侧
HVH_107_14_000012_000009	非姦所覆姦将轰婦逼供而殺番無
HVH_107_14_000012_000010	情確據者依殴妻致死論如本夫登時
HVH_107_14_000012_000011	姦所獲姦将妄婦殺死姦夫当時脱逃
HVH_107_14_000012_000012	後被擎獲到官審明轰情是實姦夫供
HVH_107_14_000012_000013	不諱者將姦夫擬監候本夫杖
HVH_107_14_000012_000014	十其非姦所獲姦或聞姦数日殺死姦
HVH_107_14_000012_000015	越律侧卷
HVH_107_14_000012_000016	刑神
HVH_107_14_000012_000017	土
HVH_107_14_000012_000018	死蠢夫
HVH_107_14_000012_000019	婦姦夫到官供認不確有實據者將
HVH_107_14_000012_000020	本夫照已就拘铁而擅殺律提徒夫
HVH_107_14_000012_000021	杖一百徒三年
HVH_107_14_000012_000022	本夫於姦所登時殺死姦夫者照律勿
HVH_107_14_000012_000023	論其有妄夫已雕姦所本夫登時逐至
HVH_107_14_000012_000024	門叶殺之者照不應重律杖入十若
HVH_107_14_000012_000025	姦所獲姦非登時而殺依直無故入
HVH_107_14_000012_000026	人家已轮构轨而擅数律杖一百徒三
HVH_107_14_000012_000027	年如足姦已雕所非登時殺死不拒
HVH_107_14_000012_000028	捕姦夫者照罪人不拒捕及已就均轨
HVH_107_14_000012_000029	而擅殺律擬较监候若難係捕獲
HVH_107_14_000013_000001	或因他故致者仍以謀故論至於
HVH_107_14_000013_000002	經犯姦有據又復逞见拍捕雖非登時
HVH_107_14_000013_000003	俱承罪人拒捕科
HVH_107_14_000013_000004	一非應許提姦之人有殺傷者並像關
HVH_107_14_000013_000005	殺傷論
HVH_107_14_000013_000006	一表自殺其夫夫果不知情止科
HVH_107_14_000013_000007	罪
HVH_107_14_000013_000008	一夫自殺夫之父母以便往来姦婦難
HVH_107_14_000013_000009	不知情亦狡
HVH_107_14_000013_000010	情雍得贵乃坐
HVH_107_14_000013_000011	以上諸祭先须
HVH_107_14_000013_000012	一姦夫自殺其夫姦婦難不知情而当
HVH_107_14_000013_000013	時戚救與事後即行首告將姦夫指拿
HVH_107_14_000013_000014	皇越律例卷十四列律
HVH_107_14_000013_000015	土
HVH_107_14_000013_000016	没死赢夫
HVH_107_14_000013_000017	到官尚有不忍致死其夫之心者仍照
HVH_107_14_000013_000018	本律定提政营鎮於内聲明法司核
HVH_107_14_000013_000019	擬時请
HVH_107_14_000013_000020	旨
HVH_107_14_000013_000021	一因姦同謀殺死親夫除本夫不知姦
HVH_107_14_000013_000022	情及罪知姦情而道於姦夫之强悍不
HVH_107_14_000013_000023	能報復鱼非有心容者姦婦照律
HVH_107_14_000013_000024	凌延處死外若本夫縱容抑勒妻妾與
HVH_107_14_000013_000025	人通姦有确據人所共知者或被
HVH_107_14_000013_000026	妾起意謀殺或夫起意係知情同謀
HVH_107_14_000013_000027	姦皆斬立决姦夫提監傷
HVH_107_14_000014_000001	未死擬監候夫仍照謀殺人
HVH_107_14_000014_000002	傷而不死律分别造意加功與不加功
HVH_107_14_000014_000003	定擬若姦夫自我其夫姦婦果不知情
HVH_107_14_000014_000004	仍依容抑勒本條科斷其之本
HVH_107_14_000014_000005	夫因别情将轰夫轰一齊教死雖
HVH_107_14_000014_000006	姦所登時仍依故殺論若本夫抑勒賣
HVH_107_14_000014_000007	姦故殺妻者以无論其常知情縱
HVH_107_14_000014_000008	非本夫起意賣姦後因索詐不殺死
HVH_107_14_000014_000009	婦者仍依殴妻至死律疑校监
HVH_107_14_000014_000010	一婦女拒姦殺死姦夫之案如和之
HVH_107_14_000014_000011	後本婦悔過拒絕確有証據後被逼
HVH_107_14_000014_000012	皇越律例卷十刑律
HVH_107_14_000014_000013	三
HVH_107_14_000014_000014	死夫
HVH_107_14_000014_000015	将姦夫殺死者照擅殺罪人律戚一等
HVH_107_14_000014_000016	杖一百流三千里其因食利與之通
HVH_107_14_000014_000017	後以無力助拒致死者或先和
HVH_107_14_000014_000018	姦後復與他人通姦情密因而拒絕
HVH_107_14_000014_000019	者仍各依謀故開殿等本律定擬
HVH_107_14_000014_000020	一几聘定未婚之妻與人通姦本夫聞知
HVH_107_14_000014_000021	往提将姦夫殺死明姦情屬實除已
HVH_107_14_000014_000022	雕姦所非登時殺死不拒捕姦夫者仍
HVH_107_14_000014_000023	照例擬殺外其登時致死及登时逐至
HVH_107_14_000014_000024	門外殺之者俱照本夫殺死已就
HVH_107_14_000014_000025	之姦夫引夜無故人人家就轨
HVH_107_14_000015_000001	擅殺律提徒侧提徒其在姦所提
HVH_107_14_000015_000002	非登时而殺者即照本夫殺死已就
HVH_107_14_000015_000003	轨之轰夫满徒侧加一等杖一百流二
HVH_107_14_000015_000004	千里如姦夫遥儿拒捕爲本夫格殺照
HVH_107_14_000015_000005	應捕之人擒拿罪人格關致死律勿論
HVH_107_14_000015_000006	一元妾因好商同姦夫謀殺正委此照权
HVH_107_14_000015_000007	僕謀殺家長律凌處死若謀殺傷而
HVH_107_14_000015_000008	不死或已行而未傷俱此照奴僕謀教
HVH_107_14_000015_000009	家長行不論傷未傷律提立次
HVH_107_14_000015_000010	姦夫仍分别會否起意同謀各照木例
HVH_107_14_000015_000011	辨理至妾若非因姦起肆段故殺正妻
HVH_107_14_000015_000012	星越律侧
HVH_107_14_000015_000013	卷十刑律
HVH_107_14_000015_000014	西
HVH_107_14_000015_000015	装夫
HVH_107_14_000015_000016	仍照律科断
HVH_107_14_000015_000017	一本夫本婦之伯叔兄第及有服親属皆
HVH_107_14_000015_000018	許提如有登时殺死豪夫及婦者
HVH_107_14_000015_000019	鱼依夜無故几人家就拘執而擅殺
HVH_107_14_000015_000020	律杖一百徙三年傷者勿論非登時而
HVH_107_14_000015_000021	投依擅放人律换狡监保若捕
HVH_107_14_000015_000022	夫或因他故致者仍以謀故論如犯
HVH_107_14_000015_000023	有據轰夫兄拒捕兹非登時俱像
HVH_107_14_000015_000024	罪人拒捕科断
HVH_107_14_000016_000001	謀殺故夫父
HVH_107_14_000016_000002	几妻姜謀殺故夫之祖父开父毋老
HVH_107_14_000016_000003	改
HVH_107_14_000016_000004	此律若男姑发
HVH_107_14_000016_000005	已故于孫改嫁妻妾依故税
HVH_107_14_000016_000006	皇越律例三卷十四律
HVH_107_14_000016_000007	謀教卑切照故役输已行城二等
HVH_107_14_000016_000008	十五
HVH_107_14_000016_000009	带教故夫受好
HVH_107_14_000016_000010	傷藏一等已数者依故殺法亦以其
HVH_107_14_000016_000011	让队名分所保而重之非于孙礼也
HVH_107_14_000016_000012	既轉賣他人得其身價各分已無思
HVH_107_14_000016_000013	義并非无人而何若雇工人一
HVH_107_14_000016_000014	日
HVH_107_14_000016_000015	不受雇钱
HVH_107_14_000016_000016	即儿人失
HVH_107_14_000017_000001	殺一家三人
HVH_107_14_000017_000002	之事有人破
HVH_107_14_000017_000003	媒殺人有极
HVH_107_14_000017_000004	故放一家
HVH_107_14_000017_000005	星工人皆是或
HVH_107_14_000017_000006	同居奴理
HVH_107_14_000017_000007	及市出省
HVH_107_14_000017_000008	又有提转於樹火
HVH_107_14_000017_000009	五级至親是
HVH_107_14_000017_000010	殺老氏为香酷
HVH_107_14_000017_000011	但一人印有罪坐不
HVH_107_14_000017_000012	支解面意同交解之
HVH_107_14_000017_000013	处律
HVH_107_14_000017_000014	意确律之未格
HVH_107_14_000017_000015	并也
HVH_107_14_000017_000016	凌退處死財產所付死者之家妻子
HVH_107_14_000017_000017	不
HVH_107_14_000017_000018	止論段一家三人不
HVH_107_14_000017_000019	坐之限
HVH_107_14_000017_000020	百史解省舉一以
HVH_107_14_000017_000021	不在断付應之恨不加功者依謀
HVH_107_14_000017_000022	例色邮本教其人
HVH_107_14_000017_000023	邮行首人麦解其
HVH_107_14_000017_000024	不行者不知支解之
HVH_107_14_000017_000025	I
HVH_107_14_000017_000026	人行诸发三人
HVH_107_14_000017_000027	情如们依
HVH_107_14_000017_000028	百從
HVH_107_14_000017_000029	行者等以陪
HVH_107_14_000017_000030	群教人面段一家之中三人普非
HVH_107_14_000017_000031	主意光人首首
HVH_107_14_000017_000032	标注原适意要殺
HVH_107_14_000017_000033	殺之者暴徐靠悬極罪大排棒
HVH_107_14_000017_000034	犯蔽责无罪者及将人四股解标
HVH_107_14_000017_000035	皇越律例
HVH_107_14_000017_000036	一家三人要支解人
HVH_107_14_000017_000037	卷十四律
HVH_107_14_000017_000038	後人之為首者凌还處死所有則
HVH_107_14_000017_000039	十长
HVH_107_14_000017_000040	授一家三人
HVH_107_14_000017_000041	自不行行者
HVH_107_14_000017_000042	産付死者之豫委子祝二千里
HVH_107_14_000017_000043	依面段三人反交
HVH_107_14_000017_000044	安置從加功者漸不断财走不慌
HVH_107_14_000017_000045	解人附患不行
HVH_107_14_000017_000046	妻于有不加功者照謀教本律藏一
HVH_107_14_000017_000047	仍爱愿好财
HVH_107_14_000017_000048	最流其要子
HVH_107_14_000017_000049	i
HVH_107_14_000017_000050	之人難犯該死罪者亦不論故注日
HVH_107_14_000017_000051	维有罪
HVH_107_14_000017_000052	亦坐也
HVH_107_14_000017_000053	條侧
HVH_107_14_000018_000001	一儿殺一家非死罪三人及支解人爲首
HVH_107_14_000018_000002	17
HVH_107_14_000018_000003	監故者将财産付被殺之家仍到醉
HVH_107_14_000018_000004	死屍首示聚
HVH_107_14_000018_000005	一支解人如故我人後欲求避罪割
HVH_107_14_000018_000006	碎死屍葉置埋没原無支解之心各以
HVH_107_14_000018_000007	殿故投論若本欲支解其人行時势
HVH_107_14_000018_000008	力不遂乃先殺訖随又解恶著
HVH_107_14_000018_000009	者以麦解論俱奏請
HVH_107_14_000018_000010	定牵
HVH_107_14_000018_000011	一家長殺奴僕非死罪三人者不分官民
