HVH_101_000001_000001	皇朝維新萬萬年歲叁
HVH_101_000018_000003	計
HVH_101_000018_000004	或何項計
HVH_101_000018_000005	明白
HVH_101_000018_000006	餘皆做此
HVH_101_000018_000007	契買家屋、
HVH_101_000018_000008	府縣總社名因為使用缺乏所有祖父留来家居
HVH_101_000018_000009	屋屋
HVH_101_000018_000010	一座
HVH_101_000018_000011	屋干間架内用鉄木
HVH_101_000018_000012	或苦辣木或红色
HVH_101_000018_000013	墙砖嘴石
HVH_101_000018_000014	提坐向
HVH_101_000018_000015	四今将断賣社人名依價
HVH_101_000018_000016	司
HVH_101_000018_000017	十九
HVH_101_000018_000018	千贯随立日交引訖其這家屋交财主下
HVH_101_000018_000019	将回随用若瞒詐甘受赔償國有常法故立文字為
HVH_101_000018_000020	契買牛牢
HVH_101_000018_000021	所有水牛
HVH_101_000018_000022	或黄牛頭身全黑色
HVH_101_000018_000023	或特牛牢干
HVH_101_000018_000024	或全黄色
HVH_101_000018_000025	中口
HVH_101_000018_000026	認取這将回供租道牛交典買主牵回耕作
HVH_101_000018_000027	情國有常法故立文契為用有
HVH_101_000019_000001	短養牛牢券
HVH_101_000019_000002	府縣總社名么為立認领詞事緣無有牛黄牢生理
HVH_101_000019_000003	耕作兹所领本社人域人水牛黄干頭身全黑色
HVH_101_000019_000004	錢難或年方干歲将回牧養耕作若守把不謹值價賠償
HVH_101_000019_000005	全黄
HVH_101_000019_000006	或天辰到具詳财主证見不得追原兹领詞
HVH_101_000019_000007	马契
HVH_101_000019_000008	府總社各緣以商牛馬生業所買得驯馬一匹年
HVH_101_000019_000009	方干歲身全乌色
HVH_101_000019_000010	或自或土黄或身内旋毛处兹将賣
HVH_101_000019_000011	紫或雜色
HVH_101_000019_000012	典社人名么依價銀元其名認取這跟将回生理
HVH_101_000019_000013	詞翰
HVH_101_000019_000014	二十
HVH_101_000019_000015	冯匹交财主服乘若有出奸訴何情甘受赔償國有常
HVH_101_000019_000016	法故立文契為绍用者
HVH_101_000019_000017	賣板船契
HVH_101_000019_000018	线船
HVH_101_000019_000019	府縣總社域名绿無有元生理所有原造板船
HVH_101_000019_000020	一艘身長杆尺横杆尺具有税牌並行船具足
HVH_101_000019_000021	特契賣共社人名依價干元其名認取這銀生理
HVH_101_000019_000022	交這船共買主永認漕用若訴甘赔國有常法故立文
HVH_101_000019_000023	契爲帮用者
HVH_101_000019_000024	别甲依式
HVH_101_000020_000001	府總社名名叶共全社·上下為顺立分册
HVH_101_000020_000002	绿本社原来一社一甲役民创混同亭中坐次食不
HVH_101_000020_000003	無互相兹顺社内何族为東西南北
HVH_101_000020_000004	或一二三四之
HVH_101_000020_000005	各立甲簿其亭寺同奉事修理除冠婚丧祭各别公田公
HVH_101_000020_000006	土按丁均分至如税搜会合烟丁田補訖由甲長别收向
HVH_101_000020_000007	里長招效寄纳通場仍此會合水為御約社内何人便阻
HVH_101_000020_000008	卷生何情干及勿悔兹顺詞
HVH_101_000020_000009	别社号式
HVH_101_000020_000010	府縣總社村名名寺叩
HVH_101_000020_000011	調萧
HVH_101_000020_000012	二十一
HVH_101_000020_000013	呈為乞里恩事承绍民社一社村分居遥隔亭寺丁田地
HVH_101_000020_000014	界各别允临公事会合良难或有退欠互相推委且前經
HVH_101_000020_000015	奉廉咱各社民随便分册奠居等意兹民村疆乞别為一
HVH_101_000020_000016	社其社蒙候承准給窃恐分設事開為此具将别册計
HVH_101_000020_000017	呈伏乞
HVH_101_000020_000018	堂官審恤以事轉禀候商民村得蒙餘澤萬望令
HVH_101_000020_000019	呈
HVH_101_000020_000020	婚書
HVH_101_000020_000021	女
HVH_101_000021_000001	借兹期定婚合水例亭中纳街侧並御俗债口仍
HVH_101_000021_000002	恪伊係主婚合编為焉心
HVH_101_000021_000003	買子契、
HVH_101_000021_000004	府總社村名所有親子或女干歲為家貧
HVH_101_000021_000005	無由餐育兹将绝賣共社人名爲子乃銀干元将
HVH_101_000021_000006	回用食從立契後财主管認教猶子一般差後萌心
HVH_101_000021_000007	眷诱何情自甘厥咎國有常法故立文契為用者
HVH_101_000021_000008	保举以下
HVH_101_000021_000009	单保正總员
HVH_101_000021_000010	詞验
HVH_101_000021_000011	十二
HVH_101_000021_000012	府縣總村社寺印
HVH_101_000021_000013	呈馬乞置保来绿承叙现下赏街正總阮单乞回休
HVH_101_000021_000014	具票覆依需人承
HVH_101_000021_000015	總出所應保因兹民總
HVH_101_000021_000016	承游
HVH_101_000021_000017	會合遵例遴保社里長当次年深係是宇物力敏幹
HVH_101_000021_000018	底人總情素所信爱合单保記引呈具有連名記結併将
HVH_101_000021_000019	伊姓名年庚具陈于次伏乞
HVH_101_000021_000020	本縣堂官審以事轉票便伊名候领文憑服事萬里
HVH_101_000021_000021	呈
HVH_101_000021_000022	一置保正總一名名阮文年東干岁
HVH_101_000022_000001	皇號年月
HVH_101_000022_000002	日立保詞
HVH_101_000022_000003	以下各社分記押篆
HVH_101_000022_000004	写詞么社里長么記
HVH_101_000022_000005	单保副總員、
HVH_101_000022_000006	府縣總各社里長寺叩
HVH_101_000022_000007	呈為乞置保事緣承伤叙民總副總蒙赏從九品百戶单
HVH_101_000022_000008	乞满例回体經禀覆依正總独辨难過卽遴保以充承
HVH_101_000022_000009	发
HVH_101_000022_000010	辨因民總會合得社里長從事年深
HVH_101_000022_000011	頗能敏韩可基充保此具单正總叶保各杜連名
